key: value
163435075: 0
454241763: 0
197277517: 0
516079430: 1
731687292: 1
621226555: 0
459375562: 0
192678042: 0
246916268: 0
719562282: 1
555079979: 0
532667135: 4
246592507: 0
321870389: 4
346015201: 0
386333775: 0
499385058: 0
424075565: 0
542633225: 0
27842413: 0
263430747: 0
18145639: 0
747562479: 0
17060736: 0
530140674: 0
262256809: 0
651317095: 1
564502145: 0
209489689: 1
508780118: 0
415156598: 0
437152091: 0
450671303: 0
382391232: 0
614054037: 0
476206557: 0
446739719: 0
543377172: 0
71078911: 0
64393150: 0
538172641: 1
482417955: 0
467540607: 1
507368710: 0
272662167: 0
141383012: 1
194055249: 0
643322144: 0
516080161: 0
272795688: 0
515536469: 0
589069112: 0
777469394: 1
591587164: 4
640996: 0
745052976: 0
303594500: 0
388399725: 0
447531058: 0
230311372: 0
513113395: 0
290663575: 1
469877098: 0
426762256: 3
760417556: 0
677195589: 0
648991900: 0
698182545: 4
493212172: 0
635022067: 0
588919389: 0
586206681: 2
244983063: 0
203839559: 0
174288935: 0
186712134: 0
308115257: 0
750850508: 1
248761732: 0
211768171: 0
522528210: 0
74334319: 0
345041952: 0
291623062: 0
196486589: 0
565261758: 0
477622006: 0
235634774: 0
391218274: 2
565281671: 0
537512004: 0
229018416: 0
1923043: 0
653854267: 0
230437997: 0
529817130: 0
738565565: 0
678285083: 0
581410335: 0
292421277: 0
646765764: 0
176595024: 0
591352960: 0
505132743: 0
437226727: 0
729046273: 0
773969398: 0
21414570: 0
585784743: 0
557653759: 4
446101455: 0
227546802: 1
25576927: 0
722238968: 0
359767145: 0
347050542: 0
604809112: 1
248949390: 0
518206450: 0
744995548: 0
654427647: 0
329503412: 0
695018340: 1
265459947: 0
658487151: 0
228947866: 0
357183239: 0
291579217: 4
231815279: 0
450413757: 0
148140431: 0
446407214: 0
247717525: 0
509203720: 0
68561990: 0
765805243: 1
648844758: 1
601523899: 0
336936159: 0
572117932: 0
237814619: 4
681999150: 4
499948974: 0
393159942: 0
224691339: 0
760197173: 0
758718723: 0
641638995: 0
376077818: 1
358299318: 0
122345163: 0
29043798: 1
251122573: 0
465713602: 0
152534192: 0
323898789: 0
499116029: 0
659413803: 0
343080413: 0
575647170: 1
364763063: 0
142394339: 4
493937535: 0
667045540: 0
173303061: 0
182954360: 0
162985122: 0
583722934: 0
363702943: 0
258767708: 0
497924613: 0
252806041: 0
304395220: 0
754124886: 1
169506610: 0
220204027: 1
618851743: 0
354905759: 0
507787608: 0
349487015: 0
530572604: 0
461119834: 0
230343147: 0
487682357: 1
326774723: 0
573106486: 0
735820189: 0
296616371: 0
394168580: 1
598199419: 0
175604727: 0
314332853: 0
605695004: 0
250705213: 0
386810862: 0
338549632: 0
164107592: 0
283922022: 0
336400056: 0
265122270: 0
284964364: 0
158931426: 0
754707527: 4
191497259: 0
213682192: 0
203283653: 0
1432660: 0
652183590: 4
514461319: 0
552791516: 0
363751021: 1
287722278: 0
592719601: 0
4255608: 0
321641963: 0
565034051: 1
407028715: 0
561626947: 0
254401198: 0
150962415: 0
292700248: 0
179204070: 0
262064440: 0
576085535: 0
306035121: 0
548175574: 0
360569157: 3
219802389: 0
646853750: 0
602729976: 4
281086210: 0
291685665: 0
602253710: 0
283486865: 0
252385312: 0
636391553: 0
138498104: 0
191377275: 0
377665563: 0
403215331: 0
166853509: 4
388056987: 0
502806935: 4
537905741: 0
611698190: 0
541886069: 4
96770292: 0
201154238: 1
26858065: 0
520967667: 0
593666782: 0
688472360: 0
379814112: 0
754933030: 0
316427238: 0
637522282: 0
507961941: 0
86213209: 0
323881468: 0
229107577: 0
290089289: 0
688882493: 1
492234416: 0
565455527: 0
187716349: 0
512920091: 0
620579885: 0
517198717: 0
267371286: 0
601130042: 0
547807734: 0
465855163: 0
395898372: 0
263424297: 1
532440291: 0
209065784: 0
261654743: 0
204693037: 0
138243727: 0
565412507: 0
354495093: 0
155020133: 0
623762409: 0
530684634: 0
511970327: 0
159484562: 0
634920861: 1
642331605: 0
366782258: 0
564838973: 4
567667435: 0
245819476: 0
576131805: 0
496504726: 0
779527574: 0
401808774: 0
412429237: 0
219278462: 0
598232240: 4
678850241: 4
661113736: 1
675637420: 0
219958780: 0
568031601: 0
327532554: 1
737263958: 1
466997957: 0
348137282: 0
188886559: 0
386076722: 0
449832226: 0
